iphi,phi min,phi max,ieta,eta min,eta max
2,-0.049087,-0.024544,3,-1.069490,-1.048015
2,-0.049087,-0.024544,2,-1.090965,-1.069490
3,-0.024544,-0.000000,3,-1.069490,-1.048015
3,-0.024544,-0.000000,2,-1.090965,-1.069490
2,-0.049087,-0.024544,5,-1.026021,-1.004340
2,-0.049087,-0.024544,4,-1.047703,-1.026021
3,-0.024544,-0.000000,5,-1.026021,-1.004340
3,-0.024544,-0.000000,4,-1.047703,-1.026021
2,-0.049087,-0.024544,7,-0.982140,-0.960254
2,-0.049087,-0.024544,6,-1.004026,-0.982140
3,-0.024544,-0.000000,7,-0.982140,-0.960254
3,-0.024544,-0.000000,6,-1.004026,-0.982140
4,-0.000000,0.024544,1,-1.112542,-1.091275
4,-0.000000,0.024544,0,-1.133810,-1.112542
5,0.024544,0.049087,1,-1.112542,-1.091275
5,0.024544,0.049087,0,-1.133810,-1.112542
4,-0.000000,0.024544,3,-1.069490,-1.048015
4,-0.000000,0.024544,2,-1.090965,-1.069490
5,0.024544,0.049087,3,-1.069490,-1.048015
5,0.024544,0.049087,2,-1.090965,-1.069490
4,-0.000000,0.024544,5,-1.026021,-1.004340
4,-0.000000,0.024544,4,-1.047703,-1.026021
5,0.024544,0.049087,5,-1.026021,-1.004340
5,0.024544,0.049087,4,-1.047703,-1.026021
4,-0.000000,0.024544,7,-0.982140,-0.960254
4,-0.000000,0.024544,6,-1.004026,-0.982140
5,0.024544,0.049087,7,-0.982140,-0.960254
5,0.024544,0.049087,6,-1.004026,-0.982140
6,0.049087,0.073631,1,-1.112542,-1.091275
6,0.049087,0.073631,0,-1.133810,-1.112542
7,0.073631,0.098175,1,-1.112542,-1.091275
7,0.073631,0.098175,0,-1.133810,-1.112542
6,0.049087,0.073631,3,-1.069490,-1.048015
6,0.049087,0.073631,2,-1.090965,-1.069490
7,0.073631,0.098175,3,-1.069490,-1.048015
7,0.073631,0.098175,2,-1.090965,-1.069490
6,0.049087,0.073631,5,-1.026021,-1.004340
6,0.049087,0.073631,4,-1.047703,-1.026021
7,0.073631,0.098175,5,-1.026021,-1.004340
7,0.073631,0.098175,4,-1.047703,-1.026021
6,0.049087,0.073631,7,-0.982140,-0.960254
6,0.049087,0.073631,6,-1.004026,-0.982140
7,0.073631,0.098175,7,-0.982140,-0.960254
7,0.073631,0.098175,6,-1.004026,-0.982140
7,0.073631,0.098175,54,0.148054,0.173523
7,0.073631,0.098175,55,0.173523,0.198991
6,0.049087,0.073631,54,0.148054,0.173523
6,0.049087,0.073631,55,0.173523,0.198991
7,0.073631,0.098175,52,0.099833,0.123759
7,0.073631,0.098175,53,0.123759,0.147685
6,0.049087,0.073631,52,0.099833,0.123759
6,0.049087,0.073631,53,0.123759,0.147685
7,0.073631,0.098175,50,0.051375,0.075416
7,0.073631,0.098175,51,0.075416,0.099457
6,0.049087,0.073631,50,0.051375,0.075416
6,0.049087,0.073631,51,0.075416,0.099457
7,0.073631,0.098175,48,0.002796,0.026897
7,0.073631,0.098175,49,0.026897,0.050998
6,0.049087,0.073631,48,0.002796,0.026897
6,0.049087,0.073631,49,0.026897,0.050998
5,0.024544,0.049087,54,0.148054,0.173523
5,0.024544,0.049087,55,0.173523,0.198991
4,-0.000000,0.024544,54,0.148054,0.173523
4,-0.000000,0.024544,55,0.173523,0.198991
5,0.024544,0.049087,52,0.099833,0.123759
5,0.024544,0.049087,53,0.123759,0.147685
4,-0.000000,0.024544,52,0.099833,0.123759
4,-0.000000,0.024544,53,0.123759,0.147685
5,0.024544,0.049087,50,0.051375,0.075416
5,0.024544,0.049087,51,0.075416,0.099457
4,-0.000000,0.024544,50,0.051375,0.075416
4,-0.000000,0.024544,51,0.075416,0.099457
5,0.024544,0.049087,48,0.002796,0.026897
5,0.024544,0.049087,49,0.026897,0.050998
4,-0.000000,0.024544,48,0.002796,0.026897
4,-0.000000,0.024544,49,0.026897,0.050998
3,-0.024544,-0.000000,54,0.148054,0.173523
3,-0.024544,-0.000000,55,0.173523,0.198991
2,-0.049087,-0.024544,54,0.148054,0.173523
2,-0.049087,-0.024544,55,0.173523,0.198991
3,-0.024544,-0.000000,52,0.099833,0.123759
3,-0.024544,-0.000000,53,0.123759,0.147685
2,-0.049087,-0.024544,52,0.099833,0.123759
2,-0.049087,-0.024544,53,0.123759,0.147685
3,-0.024544,-0.000000,50,0.051375,0.075416
3,-0.024544,-0.000000,51,0.075416,0.099457
2,-0.049087,-0.024544,50,0.051375,0.075416
2,-0.049087,-0.024544,51,0.075416,0.099457
3,-0.024544,-0.000000,48,0.002796,0.026897
3,-0.024544,-0.000000,49,0.026897,0.050998
2,-0.049087,-0.024544,48,0.002796,0.026897
2,-0.049087,-0.024544,49,0.026897,0.050998
1,-0.073631,-0.049087,54,0.148054,0.173523
1,-0.073631,-0.049087,55,0.173523,0.198991
0,-0.098175,-0.073631,54,0.148054,0.173523
0,-0.098175,-0.073631,55,0.173523,0.198991
1,-0.073631,-0.049087,52,0.099833,0.123759
1,-0.073631,-0.049087,53,0.123759,0.147685
0,-0.098175,-0.073631,52,0.099833,0.123759
0,-0.098175,-0.073631,53,0.123759,0.147685
1,-0.073631,-0.049087,50,0.051375,0.075416
1,-0.073631,-0.049087,51,0.075416,0.099457
0,-0.098175,-0.073631,50,0.051375,0.075416
0,-0.098175,-0.073631,51,0.075416,0.099457
1,-0.073631,-0.049087,48,0.002796,0.026897
1,-0.073631,-0.049087,49,0.026897,0.050998
0,-0.098175,-0.073631,48,0.002796,0.026897
0,-0.098175,-0.073631,49,0.026897,0.050998
7,0.073631,0.098175,62,0.350283,0.374812
7,0.073631,0.098175,63,0.374812,0.399340
6,0.049087,0.073631,62,0.350283,0.374812
6,0.049087,0.073631,63,0.374812,0.399340
7,0.073631,0.098175,60,0.300437,0.325188
7,0.073631,0.098175,61,0.325188,0.349939
6,0.049087,0.073631,60,0.300437,0.325188
6,0.049087,0.073631,61,0.325188,0.349939
7,0.073631,0.098175,58,0.250129,0.275110
7,0.073631,0.098175,59,0.275110,0.300091
6,0.049087,0.073631,58,0.250129,0.275110
6,0.049087,0.073631,59,0.275110,0.300091
7,0.073631,0.098175,56,0.199342,0.224561
7,0.073631,0.098175,57,0.224561,0.249781
6,0.049087,0.073631,56,0.199342,0.224561
6,0.049087,0.073631,57,0.224561,0.249781
5,0.024544,0.049087,62,0.350283,0.374812
5,0.024544,0.049087,63,0.374812,0.399340
4,-0.000000,0.024544,62,0.350283,0.374812
4,-0.000000,0.024544,63,0.374812,0.399340
5,0.024544,0.049087,60,0.300437,0.325188
5,0.024544,0.049087,61,0.325188,0.349939
4,-0.000000,0.024544,60,0.300437,0.325188
4,-0.000000,0.024544,61,0.325188,0.349939
5,0.024544,0.049087,58,0.250129,0.275110
5,0.024544,0.049087,59,0.275110,0.300091
4,-0.000000,0.024544,58,0.250129,0.275110
4,-0.000000,0.024544,59,0.275110,0.300091
5,0.024544,0.049087,56,0.199342,0.224561
5,0.024544,0.049087,57,0.224561,0.249781
4,-0.000000,0.024544,56,0.199342,0.224561
4,-0.000000,0.024544,57,0.224561,0.249781
3,-0.024544,-0.000000,62,0.350283,0.374812
3,-0.024544,-0.000000,63,0.374812,0.399340
2,-0.049087,-0.024544,62,0.350283,0.374812
2,-0.049087,-0.024544,63,0.374812,0.399340
3,-0.024544,-0.000000,60,0.300437,0.325188
3,-0.024544,-0.000000,61,0.325188,0.349939
2,-0.049087,-0.024544,60,0.300437,0.325188
2,-0.049087,-0.024544,61,0.325188,0.349939
3,-0.024544,-0.000000,58,0.250129,0.275110
3,-0.024544,-0.000000,59,0.275110,0.300091
2,-0.049087,-0.024544,58,0.250129,0.275110
2,-0.049087,-0.024544,59,0.275110,0.300091
3,-0.024544,-0.000000,56,0.199342,0.224561
3,-0.024544,-0.000000,57,0.224561,0.249781
2,-0.049087,-0.024544,56,0.199342,0.224561
2,-0.049087,-0.024544,57,0.224561,0.249781
1,-0.073631,-0.049087,62,0.350283,0.374812
1,-0.073631,-0.049087,63,0.374812,0.399340
0,-0.098175,-0.073631,62,0.350283,0.374812
0,-0.098175,-0.073631,63,0.374812,0.399340
1,-0.073631,-0.049087,60,0.300437,0.325188
1,-0.073631,-0.049087,61,0.325188,0.349939
0,-0.098175,-0.073631,60,0.300437,0.325188
0,-0.098175,-0.073631,61,0.325188,0.349939
1,-0.073631,-0.049087,58,0.250129,0.275110
1,-0.073631,-0.049087,59,0.275110,0.300091
0,-0.098175,-0.073631,58,0.250129,0.275110
0,-0.098175,-0.073631,59,0.275110,0.300091
1,-0.073631,-0.049087,56,0.199342,0.224561
1,-0.073631,-0.049087,57,0.224561,0.249781
0,-0.098175,-0.073631,56,0.199342,0.224561
0,-0.098175,-0.073631,57,0.224561,0.249781
7,0.073631,0.098175,70,0.545310,0.569000
7,0.073631,0.098175,71,0.569000,0.592690
6,0.049087,0.073631,70,0.545310,0.569000
6,0.049087,0.073631,71,0.569000,0.592690
7,0.073631,0.098175,68,0.497186,0.521080
7,0.073631,0.098175,69,0.521080,0.544974
6,0.049087,0.073631,68,0.497186,0.521080
6,0.049087,0.073631,69,0.521080,0.544974
7,0.073631,0.098175,66,0.448646,0.472747
7,0.073631,0.098175,67,0.472747,0.496848
6,0.049087,0.073631,66,0.448646,0.472747
6,0.049087,0.073631,67,0.472747,0.496848
